No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier	LCSC Stock	LCSC Price	JLCPCB Stock	JLCPCB Price	Device	Unique ID
1	1	1uF	1uf	C0402	1uF	CL05A105KP5NNNC	SAMSUNG(三星)	C14445	LCSC			774982	0.0004	CL05A105KP5NNNC	gge143
2	27	Test-Point	3V3,5V,22V,A1_V,A2_V,ALM,AON,BATT,EN_22,ESP_PWR,GND,GND1,GND2,PWM_5v,RX,RX_EN,RX_IN,SCL,SDA,TOF,TP3,TP4,TX_22_EN,TX_pulse,TX_PWM,VREF,VSYS	Test-Point-0.5mm						2666300	0.0007			Test-Point	gge226,gge227,gge262,gge263,gge273,gge274,gge275,gge276,gge277,gge278,gge279,gge280,gge281,gge282,gge283,gge284,gge285,gge286,gge295,gge296,gge297,gge298,gge304,gge308,gge309,gge314,gge315
3	1	CR1220-2	B1	BAT-SMD_CR1220-2		CR1220-2	QIJEY	C70381	LCSC			22739	0.0355	CR1220-2	gge25
4	10	10uF	C7,C9,C13,C59,C73,C74,C89,C90,C95,C125	C0603	10uF	CL10A106KP8NNNC	SAMSUNG(三星)	C19702	LCSC			12121710	0.0016	CL10A106KP8NNNC	gge13_1,gge14_1,gge26,gge26_1,gge28,gge28_1,gge34,gge42_1,gge44_1,gge139
5	31	100nF	C8,C10,C11,C12,C61,C71,C72,C75,C78,C81,C83,C87,C88,C93,C96,C97,C98,C99,C101,C104,C110,C111,C119,C120,C121,C122,C123,C128,C129,C130,C131	C0402	100nF	CL05B104KO5NNNC	SAMSUNG(三星)	C1525	LCSC			43183527	0.0003	CL05B104KO5NNNC	gge15_1,gge16_1,gge27,gge27_2,gge29,gge29_1,gge31,gge31_1,gge31_2,gge31_3,gge31_4,gge31_5,gge31_7,gge31_8,gge33,gge43_1,gge45_1,gge45_2,gge47_1,gge50_1,gge61_1,gge129_2,gge129_3,gge130_1,gge131_1,gge141,gge141_2,gge145,gge157,gge158,gge172
6	1	47nF	C14	C0603	47nF	CL10B473KB8NNNC	SAMSUNG(三星)	C1622	LCSC			2016811	0.0009	CL10B473KB8NNNC	gge41
7	6	1uF	C52,C60,C100,C106,C113,C114	C0603	1uF	CL10A105KB8NNNC	SAMSUNG(三星)	C15849	LCSC			10076422	0.0012	CL10A105KB8NNNC	gge133_1,gge140,gge147_1,gge207,gge215,gge235
8	1	470uF	C69	CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-RD	470uF	RVT1C471M0607	ROQANG(容强)	C2977552	LCSC			134047	0.0096	RVT1C471M0607	gge170
9	2	22uF	C76,C77	C0603	22uF	CL10A226MP8NUNE	SAMSUNG(三星)	C86295	LCSC			2255344	0.0024	CL10A226MP8NUNE	gge48_1,gge49_1
10	1	100uF	C84	CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-FD	100uF	RVT1V101M0607	ROQANG(容强)	C72478	LCSC			415472	0.0047	RVT1V101M0607_C72478	gge173
11	2	22uF	C85,C126	C0805	22uF	CGA0805X5R226M350MT	HRE(芯声)	C6119901	LCSC			827134	0.0218	CGA0805X5R226M350MT	gge174,gge174_1
12	2	100nF	C86,C112	C0402	100nF	GRM155R71H104KE14D	muRata(村田)	C77020	LCSC			1809410	0.0006	GRM155R71H104KE14D	gge31_6,gge175
13	1	22uF	C94	C0603	22uF	CL10A226MQ8NRNC	SAMSUNG(三星)	C59461	LCSC			14261458	0.0015	CL10A226MQ8NRNC	gge166_1
14	3	1nF	C102,C107,C109	C0402	1nF	CL05B102KB5NNNC	SAMSUNG(三星)	C14442	LCSC			5521874	0.0003	CL05B102KB5NNNC	gge209,gge216,gge220
15	1	220pF	C103	C0402	220pF	0402B221K500NT	FH(风华)	C1530	LCSC			1662049	0.0002	0402B221K500NT	gge211
16	2	150pF	C105,C108	C0402	150pF	0402B151K500NT	FH(风华)	C1527	LCSC			170976	0.0002	0402B151K500NT	gge214,gge219
17	4	1nF	C115,C116,C117,C118	C0402	1nF	CC0402X7R50V102KN	TORCH(火炬)	C53084512	LCSC			29611	0.0003	CC0402X7R50V102KN	gge139_1,gge140_1,gge141_1,gge142_1
18	4	B2B-PH-SM4-TB(LF)(SN)	CN11,CN12,CN13,CN14	CONN-SMD_B2B-PH-SM4-TB-LF-SN		B2B-PH-SM4-TB(LF)(SN)	JST	C160352	LCSC			1262	0.0298	B2B-PH-SM4-TB(LF)(SN)	gge67_4,gge67_5,gge67_6,gge67_7
19	6	BM04B-SRSS-TB(LF)(SN)	CN15,CN16,CN17,CN18,CN19,CN20	CONN-SMD_BM04B-SRSS-TB		BM04B-SRSS-TB(LF)(SN)	JST	C160390	LCSC			40636	0.0331	BM04B-SRSS-TB(LF)(SN)	gge159,gge159_2,gge159_3,gge159_4,gge159_5,gge159_6
20	2	SS14	D6,D7	SMA_L4.4-W2.6-LS5.0-RD		SS14	HT(金誉)	C48782961	LCSC			187	0.0012	SS14_C48782961	gge53_1,gge54_1
21	2	BAV99	D8,D9	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		BAV99	baocheng(宝乘)	C51898307	LCSC			17116	0.0016	BAV99_C51898307	gge210,gge221
22	5	BZT52C15	D10,D11,D12,D13,D14	SOD-123_L2.7-W1.6-LS3.7-RD-1		BZT52C15	YONGYUTAI(永裕泰)	C2891782	LCSC			26802	0.0016	BZT52C15_C2891782	gge233,gge236,gge246,gge254,gge261
23	4	SS14	D15,D16,D17,D18	SMA_L4.3-W2.6-LS5.0-RD		SS14	YONGYUTAI(永裕泰)	C47147601	LCSC			36077	0.0014	SS14_C47147601	gge182_1,gge182_2,gge182_3,gge182_4
24	2	BZT52C12S	D19,D20	SOD-323_L1.6-W1.3-LS2.7-RD		BZT52C12S	TWGMC(迪嘉)	C727035	LCSC			6545	0.002	BZT52C12S_C727035	gge173_1,gge173_2
25	5	33Ω	F1,F4,F6,F7,F8	RES-ARRAY-SMD_0404-4P-L1.0-W1.0-BL	33Ω	YC122-JR-0733RL	YAGEO(国巨)	C695180	LCSC			10094	0.0005	YC122-JR-0733RL	gge192,gge214_1,gge215_1,gge216_1,gge217_1
26	1	1812L050PR	F5	F1812		1812L050PR	Littelfuse(美国力特)	C151169	LCSC			5834	0.0095	1812L050PR	gge20_1
27	1	2.54-2*3P立贴针	H1	HDR-SMD_6P-P2.54-V-M-R2-C5-S7.4		2.54-2*3P立贴针	BOOMELE(博穆精密)	C192301	LCSC			2367	0.007	2.54-2*3P立贴针	gge269
28	2	22uH	L4,L7	IND-SMD_L4.6-W4.2_SMMS0420	22uH	SMMS0420-220M	SXN(顺翔诺)	C2894720	LCSC			25208	0.0243	SMMS0420-220M	gge46_1,gge318
29	1	10uH	L6	IND-SMD_L7.4-W6.6	10uH	CKST0603-10uH/M	CENKER(岑科)	C3002639	LCSC			2194	0.0202	CKST0603-10uH/M	gge157_1
30	1	KT-0603G	LED3	LED0603-RD		KT-0603G	KENTO	C12624	LCSC			176463	0.0018	KT-0603G	gge18_1
31	2	KT-0603R	LED7,LED8	LED0603-RD		KT-0603R	KENTO	C2286	LCSC			8306276	0.0011	KT-0603R	gge17_2,gge17_3
32	2	AO3407A	Q2,Q37	SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR		AO3407A	AOS	C15155	LCSC			67987	0.0141	AO3407A_C15155	gge6,gge6_1
33	8	2N7002	Q3,Q4,Q21,Q22,Q28,Q31,Q34,Q39	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		2N7002	CBI(创基)	C51315010	LCSC			4128	0.0011	2N7002_C51315010	gge24,gge24_1,gge36,gge231,gge232,gge242,gge251,gge256
34	4	MMBT3904	Q14,Q15,Q19,Q36	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		MMBT3904	CCX(晁禾)	C51953474	LCSC			101295	0.001	MMBT3904_C51953474	gge171_3,gge171_4,gge171_5,gge171_6
35	5	NCE2309	Q16,Q17,Q27,Q30,Q33	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		NCE2309	NCE(无锡新洁能)	C502865	LCSC			49816	0.0101	NCE2309	gge229,gge230,gge247,gge253,gge258
36	2	AO3407A	Q18,Q20	SOT-23_L2.9-W1.3-P1.90-LS2.4-BR		AO3407A	UMW(友台半导体)	C347478	LCSC			173029	0.005	AO3407A_C347478	gge170_1,gge170_2
37	4	CJ2310	Q26,Q29,Q32,Q35	SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR		CJ2310	CJ(江苏长电/长晶)	C75882	LCSC			472629	0.0052	CJ2310_C75882	gge238,gge243,gge249,gge259
38	1	MMBT3904(RANGE:100-300)	Q38	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		MMBT3904(RANGE:100-300)	CJ(江苏长电/长晶)	C20526	LCSC			1555126	0.0014	MMBT3904(RANGE:100-300)	gge167_1
39	30	100kΩ	R10,R59,R96,R97,R101,R104,R107,R111,R112,R114,R118,R120,R124,R126,R130,R132,R136,R138,R141,R144,R145,R148,R153,R161,R163,R164,R165,R171,R172,R177	R0402	100kΩ	0402WGF1003TCE	UNI-ROYAL(厚声)	C25741	LCSC			4438651	0.0002	0402WGF1003TCE	gge37,gge37_1,gge37_2,gge37_3,gge37_4,gge57_2,gge57_5,gge57_8,gge57_9,gge57_10,gge57_11,gge63,gge63_1,gge184_3,gge184_4,gge184_5,gge184_6,gge184_7,gge184_8,gge184_9,gge184_11,gge184_13,gge184_14,gge184_16,gge184_17,gge184_19,gge184_20,gge301,gge302,gge316
40	1	100Ω	R12	R0402	100Ω	0402WGF1000TCE	UNI-ROYAL(厚声)	C25076	LCSC			9238239	0.0002	0402WGF1000TCE	gge40
